Task_Definition,Keyword,Dataset_ID,Sample_Input,Sample_Output,Judge_Score,Judge_Solvable
"You are given a word problem involving basic arithmetic, algebra, or geometry. Your task is to carefully read the problem and provide a step-by-step solution for it.",math reasoning,GetSoloTech/Math-Reasoning,"If the diameter of a circle is 10 cm, what is the radius and area of the circle?","The radius is half of the diameter, so radius = 10 cm / 2 = 5 cm. The area is given by πr², thus area = π × (5 cm)² ≈ 78.54 cm². #### 78.54 cm²","{'Relevance': '10', 'Correctness': '10', 'Helpfulness': '9', 'Clarity': '10', 'Difficulty': '6'}",Unknown
"You are given a word problem involving basic arithmetic, algebra, or geometry. Your task is to carefully read the problem and provide a step-by-step solution for it.",math reasoning,GetSoloTech/Math-Reasoning,"If an angle measures 120 degrees, what is its reference angle?","The reference angle is found by subtracting the angle from 180 degrees. Therefore, reference angle = 180° - 120° = 60°. 
#### 60°","{'Relevance': '9', 'Correctness': '10', 'Helpfulness': '9', 'Clarity': '10', 'Difficulty': '7'}",Unknown
"You are given a word problem involving basic arithmetic, algebra, or geometry. Your task is to carefully read the problem and provide a step-by-step solution for it.",math reasoning,GetSoloTech/Math-Reasoning,Calculate the value of sin(60°).,"The value of sin(60°) is √3/2. 
#### √3/2","{'Relevance': '7', 'Correctness': '10', 'Helpfulness': '6', 'Clarity': '9', 'Difficulty': '4'}",Unknown
"You are given a word problem involving basic arithmetic, algebra, or geometry. Your task is to carefully read the problem and provide a step-by-step solution for it.",math reasoning,GetSoloTech/Math-Reasoning,A rectangular garden has a length of 15 meters and a width of 10 meters. What is the perimeter of the garden?,"The perimeter of a rectangle is calculated as P = 2 * (length + width). Thus, P = 2 * (15 m + 10 m) = 2 * 25 m = 50 m. #### 50 m","{'Relevance': '10', 'Correctness': '10', 'Helpfulness': '9', 'Clarity': '10', 'Difficulty': '4'}",Unknown
"You are given a word problem involving basic arithmetic, algebra, or geometry. Your task is to carefully read the problem and provide a step-by-step solution for it.",math reasoning,GetSoloTech/Math-Reasoning,A circular park has a radius of 10 m. What is the length of an arc that subtends a central angle of 60 degrees?,"The arc length can be calculated using the formula: Arc Length = (θ/360) * 2πr. Here θ = 60° and r = 10 m. So, Arc Length = (60/360) * 2π * 10 = (1/6) * 20π = (10/3)π m. 
#### (10/3)π m","{'Relevance': '10', 'Correctness': '10', 'Helpfulness': '9', 'Clarity': '9', 'Difficulty': '7'}",Unknown
"You are given a word problem involving basic arithmetic, algebra, or geometry. Your task is to carefully read the problem and provide a step-by-step solution for it.",math reasoning,ReasoningTransferability/math_sft_40K,"The number of two-digit numbers that can be formed using the digits 0, 1, 2, 3, 4 without repeating any digit must be calculated. Let's think step by step and output the final answer within \boxed{}.",16,"{'Relevance': 9, 'Correctness': 2, 'Helpfulness': 3, 'Clarity': 8, 'Difficulty': 7}",Unknown
"You are given a word problem involving basic arithmetic, algebra, or geometry. Your task is to carefully read the problem and provide a step-by-step solution for it.",math reasoning,ReasoningTransferability/math_sft_40K,"Convert the point $\left( 6 \sqrt{3}, \frac{5 \pi}{3}, -2 \right)$ in cylindrical coordinates to rectangular coordinates. Please reason step by step, and put your final answer within \boxed{}.","(3 \sqrt{3}, -9, -2)","{'Relevance': '9', 'Correctness': '2', 'Helpfulness': '3', 'Clarity': '8', 'Difficulty': '7'}",Unknown
"You are given a word problem involving basic arithmetic, algebra, or geometry. Your task is to carefully read the problem and provide a step-by-step solution for it.",math reasoning,ReasoningTransferability/math_sft_40K,"In the Cartesian coordinate system $xOy$, the coordinates of points $E'$ and $F'$ are $(0, \sqrt{3})$ and $(0, -\sqrt{3})$, respectively. A moving point $G$ satisfies: the product of the slopes of line $E'G$ and line $F'G$ is $-\frac{3}{4}$.  
(1) Find the equation of the trajectory of the moving point $G$;  
(2) Draw two perpendicular rays from point $O$ that intersect the trajectory from (1) at points $A$ and $B$, respectively. Find the minimum value of the area of $\triangle OAB$. Let's think step by step and output the final answer within \boxed{}.",\frac{12}{7},"{'Relevance': 9, 'Correctness': 10, 'Helpfulness': 8, 'Clarity': 7, 'Difficulty': 9}",Unknown
"You are given a word problem involving basic arithmetic, algebra, or geometry. Your task is to carefully read the problem and provide a step-by-step solution for it.",math reasoning,ReasoningTransferability/math_sft_40K,"How many non-congruent squares can be drawn, such that their vertices are lattice points on the 5 by 5 grid of lattice points shown? [asy]
dot((0,0));dot((1,0));dot((2,0));dot((3,0));dot((4,0));
dot((0,1));dot((1,1));dot((2,1));dot((3,1));dot((4,1));
dot((0,2));dot((1,2));dot((2,2));dot((3,2));dot((4,2));
dot((0,3));dot((1,3));dot((2,3));dot((3,3));dot((4,3));
dot((0,4));dot((1,4));dot((2,4));dot((3,4));dot((4,4));
[/asy] Let's think step by step and output the final answer within \boxed{}.",8,"{'Relevance': 9, 'Correctness': 2, 'Helpfulness': 2, 'Clarity': 7, 'Difficulty': 9}",Unknown
"You are given a word problem involving basic arithmetic, algebra, or geometry. Your task is to carefully read the problem and provide a step-by-step solution for it.",math reasoning,ReasoningTransferability/math_sft_40K,What is the area enclosed by the region defined by the equation $x^2+y^2+12x+16y=0$? Let's think step by step and output the final answer within \boxed{}.,100\pi,"{'Relevance': 10, 'Correctness': 10, 'Helpfulness': 9, 'Clarity': 9, 'Difficulty': 8}",Unknown
